id,time,values,aqi,pollution
1,2023:02:07 13:00:00,42.1667,128.7,Slightly unhealthy
2,2023:02:07 13:00:00,41.5154,117.2,Slightly unhealthy
3,2023:02:07 13:00:00,51.775,131.2,Slightly unhealthy
1,2023:02:07 14:00:00,56.4175,172.1,Unhealthy
2,2023:02:07 14:00:00,50.1439,145,Slightly unhealthy
3,2023:02:07 14:00:00,51.4862,130.4,Slightly unhealthy
1,2023:02:07 15:00:00,53.019,109.5,Slightly unhealthy
2,2023:02:07 15:00:00,46.8273,117.4,Slightly unhealthy
3,2023:02:07 15:00:00,44.0732,133.7,Slightly unhealthy
1,2023:02:07 16:00:00,52.4593,140,Slightly unhealthy
2,2023:02:07 16:00:00,51.4439,104,Slightly unhealthy
3,2023:02:07 16:00:00,59.086,180.2,Unhealthy
1,2023:02:07 17:00:00,55.8158,150.8,Unhealthy
2,2023:02:07 17:00:00,54.2169,117.2,Slightly unhealthy
3,2023:02:07 17:00:00,57.1293,164,Unhealthy
1,2023:02:07 18:00:00,44.9667,129.9,Slightly unhealthy
2,2023:02:07 18:00:00,51.2772,141,Slightly unhealthy
3,2023:02:07 18:00:00,47.5855,143.1,Slightly unhealthy
1,2023:02:07 19:00:00,52.9821,123.8,Slightly unhealthy
2,2023:02:07 19:00:00,49.2625,147.8,Slightly unhealthy
3,2023:02:07 19:00:00,51.3655,148.4,Slightly unhealthy
1,2023:02:07 20:00:00,50.7965,146,Slightly unhealthy
2,2023:02:07 20:00:00,55.3632,123.2,Slightly unhealthy
3,2023:02:07 20:00:00,53.3267,106.6,Slightly unhealthy
1,2023:02:07 21:00:00,51.1877,119.7,Slightly unhealthy
2,2023:02:07 21:00:00,48.3625,118.1,Slightly unhealthy
3,2023:02:07 21:00:00,49.393,149.8,Slightly unhealthy
1,2023:02:07 22:00:00,56.735,191.7,Unhealthy
2,2023:02:07 22:00:00,52.6695,139.4,Slightly unhealthy
3,2023:02:07 22:00:00,50.825,140.4,Slightly unhealthy
1,2023:02:07 23:00:00,58.4568,192.8,Unhealthy
2,2023:02:07 23:00:00,42.3489,118.1,Slightly unhealthy
3,2023:02:07 23:00:00,48.6022,107.6,Slightly unhealthy
